NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
3104;BABYFOOD,VEG,SQUASH,STR;9266;28;81;2;573;9;337;32;0
3109;BABYFOOD,VEG,SWT POTATOES,JR;841;60;11;1;14;15;424;39;0
3108;BABYFOOD,VEG,SWT POTATOES,STR;848;57;11;1;132;15;405;37;0
10994;BACON,PRE-SLICED,REDUCED/LOW NA,UNPREP;4501;407;1253;3927;83;0;83;42;
7974;BACON,TURKEY,LO NA;5893;253;1333;20;48;0;0;72;100
11710;BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT;8869;32;36;2;616;19;104;102;0
11023;BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT;8869;34;36;2;668;19;104;102;0
11022;BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW;8925;30;53;69;329;;;204;0
11711;BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT;9395;19;84;18;432;2;195;38;0
11025;BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT;9395;19;84;18;432;2;195;38;0
11024;BALSAM-PEAR (BITTER GOURD),PODS,RAW;9403;17;1;17;37;28;;43;0
11712;BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT;9592;11;153;22;152;1;;24;0
11027;BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT;9592;12;153;22;192;1;;24;0
11028;BAMBOO SHOOTS,CND,DRND SOL;9432;19;172;4;322;14;189;32;0
11026;BAMBOO SHOOTS,RAW;91;27;26;3;52;22;3;5;0
9041;BANANAS,DEHYD,OR BANANA PDR;3;346;389;181;8828;99;473;115;0
9040;BANANAS,RAW;7491;89;109;33;2284;26;1223;26;0
7001;BARBECUE LOAF,PORK,BEEF;6482;173;1584;89;64;0;;116;37
2044;BASIL,FRESH;9206;23;315;64;265;16;3;317;0
16014;BEANS,BLACK,MATURE SEEDS,RAW;1102;341;216;142;6236;155;212;502;0
11973;BEANS,FAVA,IN POD,RAW;726;88;792;73;1763;75;921;155;0
16024;BEANS,GREAT NORTHERN,MATURE SEEDS,RAW;107;339;2186;114;6237;202;226;547;0
16027;BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,RAW;1175;333;2358;83;6001;249;223;82;0
16030;BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,RAW;1175;330;2437;25;598;249;;935;0
11713;BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;893;33;483;58;472;;;89;0
11030;BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT;893;33;483;58;472;;;89;0
11029;BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW;907;29;42;5;41;;;81;0
16032;BEANS,KIDNEY,RED,MATURE SEEDS,RAW;1175;337;2253;106;6129;152;21;669;0
11626;BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL;961;12;14;6;214;8;7;43;0
16037;BEANS,NAVY,MATURE SEEDS,RAW;121;337;2233;15;6075;153;388;549;
11719;BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;7602;78;707;81;1501;;;211;0
11047;BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT;7602;78;707;81;1501;;;211;0
11046;BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW;7915;67;615;7;1305;;;193;0
16040;BEANS,PINK,MATURE SEEDS,RAW;1006;343;2096;113;6419;127;214;677;0
11720;BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT;5801;162;931;48;3087;54;;271;0
11049;BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT;5801;162;931;48;3087;54;;271;0
11048;BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP;558;170;98;5;325;57;;3;0
16042;BEANS,PINTO,MATURE SEEDS,RAW;1133;347;2142;123;6255;155;211;507;0
11721;BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;9339;20;186;32;35;;;66;0
11654;BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT;9339;22;186;32;41;;;66;0
11653;BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW;813;62;525;9;116;;;197;0
